Station_A,Station_B,Capacity,Service
Afife,Ancora Praia,2,STANDARD
Ancora Praia,Moledo do Minho,2,STANDARD
Moledo do Minho,Senhora da Agonia,2,STANDARD
Senhora da Agonia,Caminha,4,STANDARD
Caminha,Seixas,2,STANDARD
Seixas,Esqueiro,2,STANDARD
Esqueiro,Gondarem,2,STANDARD
Gondarem,Vila Nova da Cerveira,4,STANDARD
Vila Nova da Cerveira,Carvalha,2,STANDARD
Carvalha,Sao Pedro da Torre,4,STANDARD
Alcantara-Terra,Alcantara-Mar,10,STANDARD
Ermesinde - A,Cabeda,2,STANDARD
Cabeda,Suzao,2,STANDARD
Suzao,Valongo,6,STANDARD
Valongo,Sao Martinho do Campo,2,STANDARD
Sao Martinho do Campo,Terronhas,2,STANDARD
Terronhas,Trancoso,2,STANDARD
Trancoso,Recarei - Sobreira,6,STANDARD
Recarei - Sobreira,Parada,2,STANDARD
Parada,Cete,6,STANDARD
Cete,Irivo,6,STANDARD
Irivo,Oleiros,2,STANDARD
Oleiros,Paredes,2,STANDARD
Paredes,Bustelo,2,STANDARD
Bustelo,Meinedo,2,STANDARD
Meinedo,Caide,4,STANDARD
Caide,Oliveira,2,STANDARD
Oliveira,Vila Mea,4,STANDARD
Vila Mea,Recezinhos,2,STANDARD
Recezinhos,Livracao,6,STANDARD
Livracao,Marco de Canaveses,6,STANDARD
Marco de Canaveses,Juncal,4,STANDARD
Juncal,Pala,2,STANDARD
Pala,Mosteiro,4,STANDARD
Mosteiro,Aregos,4,STANDARD
Aregos,Mirao,2,STANDARD
Mirao,Ermida,4,STANDARD
Ermida,Porto Rei,2,STANDARD
Porto Rei,Barqueiros,2,STANDARD
Barqueiros,Rede,4,STANDARD
Rede,Caldas de Moledo,2,STANDARD
Caldas de Moledo,Godim,4,STANDARD
Godim,Regua,4,STANDARD
Regua,Bagauste,2,STANDARD
Bagauste,Ferrao,2,STANDARD
Ferrao,Pinhao,6,STANDARD
Pinhao,Sao Mamede do Tua,2,STANDARD
Sao Mamede do Tua,Alegria,2,STANDARD
Alegria,Ferradosa,2,STANDARD
Ferradosa,Vargelas,4,STANDARD
Vargelas,Vesuvio,2,STANDARD
Vesuvio,Freixo de Numao,2,STANDARD
Freixo de Numao,Pocinho,4,STANDARD
Silvalde-Vouga,Monte de Paramos,2,STANDARD
Monte de Paramos,Lapa,2,STANDARD
Lapa,Sampaio-Oleiros,2,STANDARD
Sampaio-Oleiros,Pacos de Brandao,4,STANDARD
Pacos de Brandao,Rio Meao,2,STANDARD
Rio Meao,Sao Joao de Ver,2,STANDARD
Sao Joao de Ver,Cavaco,2,STANDARD
Cavaco,Sanfins,2,STANDARD
Sanfins,Vila da Feira,4,STANDARD
Vila da Feira,Escapaes,2,STANDARD
Escapaes,Arrifana,2,STANDARD
Arrifana,Faria,2,STANDARD
Faria,Couto de Cucujaes,2,STANDARD
Couto de Cucujaes,Santiago de Riba-Ul,2,STANDARD
Santiago de Riba-Ul,Oliveira de Azemeis,4,STANDARD
Oliveira de Azemeis,Ul,2,STANDARD
Ul,Travanca-Macinhata,2,STANDARD
Travanca-Macinhata,Figueiredo,2,STANDARD
Figueiredo,Pinheiro da Bemposta,4,STANDARD
Pinheiro da Bemposta,Branca,2,STANDARD
Branca,Albergaria-a-Nova,2,STANDARD
Albergaria-a-Nova,Urgueiras,2,STANDARD
Urgueiras,Albergaria-a-Velha,4,STANDARD
Albergaria-a-Velha,Sernada do Vouga,4,STANDARD
Bemposta,Ponte de Sor,4,STANDARD
Ponte de Sor,Fazenda,2,STANDARD
Fazenda,Torre das Vargens,4,STANDARD
Torre das Vargens,Chanca,2,STANDARD
Chanca,Mata,2,STANDARD
Mata,Portalegre,10,STANDARD
Portalegre,Assumar,2,STANDARD
Assumar,Arronches,2,STANDARD
Arronches,Santa Eulalia-A,2,STANDARD
Santo Tirso,Canicos,6,STANDARD
Canicos,Giesteira,2,STANDARD
Giesteira,Lordelo,6,STANDARD
Lordelo,Cuca,2,STANDARD
Cuca,Pereirinhas,2,STANDARD
Pereirinhas,Vizela,4,STANDARD
Vizela,Nespereira,2,STANDARD
Nespereira,Covas,2,STANDARD
Covas,Guimaraes,6,STANDARD
Morgado,Muge,6,STANDARD
Muge,Marinhais,6,STANDARD
Marinhais,Desvio Km 19.5,4,STANDARD
Desvio Km 19.5,Agolada,4,STANDARD
Agolada,Salgueirinha,4,STANDARD
Salgueirinha,Sao Torcato,4,STANDARD
Sao Torcato,Lavre,4,STANDARD
Lavre,Canha,6,STANDARD
Canha,Vidigal,4,STANDARD
Vidigal,Vendas Novas,4,STANDARD
Couto de Cambeses,Arentim,8,STANDARD
Arentim,Ruilhe,10,STANDARD
Ruilhe,Tadim,10,STANDARD
Tadim,Aveleda,2,STANDARD
Aveleda,Mazagao,2,STANDARD
Mazagao,Ferreiros,2,STANDARD
Ferreiros,Braga,8,STANDARD
Contumil,Sao Gemil,4,STANDARD
Sao Gemil,Sao Mamede de Infesta,4,STANDARD
Sao Mamede de Infesta,Leca do Balio,4,STANDARD
Leca do Balio,Leixoes,4,STANDARD
Albufeira - Ferreiras,Boliqueime,6,STANDARD
Boliqueime,Loule,4,STANDARD
Loule,Almancil,2,STANDARD
Almancil,Parque das Cidades,6,STANDARD
Parque das Cidades,Bom Joao,2,STANDARD
Bom Joao,Olhao,6,STANDARD
Olhao,Fuseta-A,2,STANDARD
Fuseta-A,Fuseta,4,STANDARD
Fuseta,Livramento,2,STANDARD
Livramento,Luz,2,STANDARD
Luz,Tavira,4,STANDARD
Tavira,Porta Nova,2,STANDARD
Porta Nova,Conceicao,2,STANDARD
Conceicao,Cacela,4,STANDARD
Cacela,Castro Marim,2,STANDARD
Castro Marim,Monte Gordo,2,STANDARD
Monte Gordo,Vila Real de Stº Antonio,4,STANDARD
Soudos - Vila Nova,Carrascal-Delongo,2,STANDARD
Carrascal-Delongo,Curvaceiras,2,STANDARD
Curvaceiras,Santa Cita,4,STANDARD
Santa Cita,Carvalhos de Figueiredo,2,STANDARD
